;Provincia;Cantón;Parroquia;Densidad Poblacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SIGCHOS;LAS PAMPAS;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SIGCHOS;PALO QUEMADO;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;RIOBAMBA;3.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;CACHA;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;CALPI;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;CUBIJÍES;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;FLORES;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;LICÁN;558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;LICTO;113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;PUNGALÁ;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;PUNÍN;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;QUIMIAG;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;SAN JUAN;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;RIOBAMBA;SAN LUIS;653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;ALAUSÍ;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;ACHUPALLAS;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;GUASUNTOS;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;HUIGRA;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;MULTITUD;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;PISTISHI;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;PUMALLACTA;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;SEVILLA;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;SIBAMBE;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;ALAUSÍ;TIXÁN;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;COLTA;VILLA LA UNIÓN;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;COLTA;CAÑI;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;COLTA;COLUMBE;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;COLTA;JUAN DE VELASCO;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;COLTA;SANTIAGO DE QUITO;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;CHAMBO;CHAMBO;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;CHUNCHI;CHUNCHI;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;CHUNCHI;CAPZOL;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;CHUNCHI;COMPUD;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CHIMBORAZO;CHUNCHI;GONZOL;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
